Name,Month,Year,Sale Amount
Edgar,August,2020,4220
Jessie,June,2002,1121
Lewis,August,2011,6124
Jimmie,November,2002,546
Dale,March,2008,5103
Lewis,November,2020,4509
Leslie,July,2010,1958
Glen,May,2011,7464
Glen,September,2018,4542
Eddie,June,2005,3240
Roland,October,2013,1355
Junior,September,2004,7927
Jessie,June,2017,173
Virgil,May,2019,1607
Roger,June,2015,7153
Jimmie,October,2002,3822
Glen,February,2019,1664
Eddie,February,2014,1874
Jerry,July,2016,453
Wallace,February,2007,5855
Allen,September,2007,2367
Oscar,April,2014,4629
Wallace,March,2007,7172
Homer,January,2019,2293
Ronald,April,2020,6284
Oscar,June,2012,1141
Lee,March,2016,7804
Benjamin,January,2016,4733
Jerome,April,2011,2841
Leslie,May,2018,4512
Edgar,June,2008,7251
Manuel,August,2003,4317
Jimmie,January,2013,4407
Wallace,January,2000,703
Chester,November,2001,1828
Dale,January,2006,4228
Jesse,March,2018,5984
Wilbur,March,2000,616
Homer,March,2011,4863
Johnnie,August,2002,1623
Hugh,September,2015,5381
Rudolph,February,2020,3923
Everett,September,2019,4986
Rudolph,August,2004,5849
Bobby,October,2014,3842
Douglas,November,2020,4454
Charlie,May,2008,471
Milton,September,2009,7547
Marion,October,2008,7730
Bruce,March,2017,884
Manuel,September,2009,6062
Roger,September,2000,4432
Rudolph,October,2020,4198
Manuel,June,2014,2062
Wallace,March,2020,303
Marion,September,2017,5144
Arnold,October,2016,3592
Junior,June,2007,4651
Bobby,July,2000,4632
Wilbur,August,2007,4010
Sam,February,2009,7708
Virgil,June,2005,6436
Jesse,June,2002,3824
Claude,February,2006,6983
Benjamin,February,2009,7719
Leslie,September,2012,3109
Leslie,October,2002,5599
Johnnie,January,2016,7565
Wilbur,September,2011,4650
Martin,October,2001,6333
Gene,November,2020,6220
Jose,September,2019,7463
Lee,February,2018,1507
Manuel,November,2018,7301
Milton,March,2002,4650
Allen,January,2016,6583
Cecil,June,2015,4982
Rudolph,October,2014,2783
Jimmie,March,2020,4542
Jesse,August,2017,2329
Jerome,January,2014,259
Oscar,May,2011,6154
Jose,July,2014,6272
Wilbur,July,2010,508
Junior,July,2012,4664
Homer,May,2017,3252
Edgar,October,2006,220
Oscar,February,2003,3162
Claude,March,2018,7847
Milton,January,2014,2197
Glen,September,2020,2042
Eddie,September,2005,6707
Jimmie,February,2009,6857
Cecil,November,2019,5697
Jimmie,November,2004,1119
Glen,July,2008,1723
Everett,October,2007,1756
Dale,February,2020,3797
Benjamin,May,2008,7103
Bruce,July,2020,2552
Charlie,July,2014,6936
Arnold,October,2016,1799
Jimmie,November,2009,7504
Milton,July,2004,2364
Marion,January,2019,2594
Gilbert,January,2003,3914
Curtis,August,2020,6700
Junior,March,2003,1342
Allen,November,2018,2734
Curtis,November,2018,3649
Jessie,March,2010,581
Martin,January,2012,420
Jessie,October,2009,2566
Arnold,June,2014,3748
Manuel,February,2009,3818
Lee,April,2012,5240
Wallace,October,2008,7352
Wilbur,March,2014,268
Rudolph,February,2008,1693
Sam,August,2019,238
Lee,March,2017,5117
Jerome,October,2005,2961
Chester,February,2005,7651
Jerome,May,2004,4068
Bobby,February,2000,6614
Everett,July,2008,6442
Roger,November,2013,1634
Homer,March,2005,4073
Arnold,November,2018,2605
Wilbur,January,2020,6288
Roger,June,2020,3379
Bob,August,2019,2624
Johnnie,June,2020,5146
Lewis,September,2010,2114
Jose,April,2019,2765
Benjamin,September,2012,4159
Jerome,March,2011,5883
Leslie,August,2000,6768
Victor,September,2002,2548
Rudolph,May,2010,899
Everett,March,2004,5352
Johnnie,June,2008,5851
Dale,March,2019,3103
Roger,March,2000,3622
Virgil,May,2011,7348
Johnnie,February,2016,4120
Eddie,September,2008,3860
Manuel,May,2009,574
Jose,September,2008,4599
Gilbert,May,2003,6146
Charlie,July,2005,4164
Jesse,July,2005,6815
Eddie,January,2011,7459
Jessie,April,2011,2990
Eddie,May,2011,4712
Oscar,February,2015,7624
Don,August,2012,3111
Virgil,May,2016,3374
Hugh,July,2000,2582
Jessie,July,2005,1886
Jessie,January,2006,5924
Junior,February,2009,5872
Leslie,April,2019,3186
Harvey,February,2020,3506
Marion,March,2000,5309
Maurice,September,2016,755
Allen,November,2020,6150
Harvey,April,2016,1240
Marion,July,2019,301
Bruce,July,2015,3143
Virgil,July,2004,2832
Charlie,February,2006,3178
Milton,October,2006,2726
Wilbur,February,2014,3958
Leslie,April,2019,5782
Benjamin,March,2019,458
Ronald,February,2016,3040
Allen,June,2004,5314
Bobby,August,2007,2582
Jimmie,November,2006,6440
Dale,September,2003,6670
Johnnie,July,2004,6203
Charlie,May,2004,5350
Jerome,April,2019,5705
Curtis,November,2017,787
Edgar,June,2015,2197
Edgar,April,2001,7047
Gilbert,July,2001,3214
Johnnie,November,2016,1223
Jerome,May,2005,940
Bruce,June,2009,1133
Manuel,April,2002,2627
Claude,January,2008,1144
Homer,August,2014,5918
Roger,April,2020,7583
Roland,April,2005,4561
Gene,April,2006,7081
Milton,September,2018,4166
Gene,June,2016,3045
Douglas,May,2018,7020
Douglas,November,2020,3275
Wilbur,November,2019,4933
Rudolph,October,2009,7033
Lee,May,2011,4144
Eddie,November,2015,4886
Willard,September,2015,7673
Bobby,April,2016,821
Maurice,April,2011,4144
Sam,August,2006,6991
Jerome,October,2011,2006
Homer,September,2002,2459
Bob,October,2004,522
Jessie,October,2019,4748
Eddie,October,2007,1413
Homer,March,2004,4581
Marion,August,2008,2699
Junior,July,2018,7452
Victor,June,2001,398
Jesse,February,2020,6038
Allen,September,2003,7506
Cecil,November,2013,345
Bobby,March,2008,1909
Bobby,July,2015,4753
Homer,January,2001,4520
Arnold,September,2015,4920
Claude,August,2020,7300
Roland,November,2013,243
Douglas,October,2020,7900
Claude,June,2007,3449
Charlie,August,2009,6875
Jesse,May,2016,3533
Lewis,March,2009,809
Wallace,October,2020,2270
Bobby,June,2020,6337
Ronald,January,2011,7953
Lewis,March,2011,2807
Jesse,March,2016,7315
Everett,July,2004,4206
Cecil,April,2014,7752
Jesse,October,2015,6580
Roland,April,2015,5453
Sam,March,2020,2015
Sam,July,2020,1409
Jesse,August,2002,536
Jerome,January,2014,7707
Bruce,February,2013,4803
Rudolph,May,2008,4745
Roger,January,2015,7779
Junior,August,2007,2209
Bruce,October,2017,3413
Oscar,November,2004,7813
Arnold,September,2011,2474
Homer,June,2003,6236
Don,September,2004,5069
Dale,February,2009,7071
Jerome,March,2008,2087
Lewis,January,2004,962
Glen,May,2018,1288
Oscar,July,2018,1987
Junior,February,2000,2899
Arnold,February,2004,5393
Cecil,October,2013,7108
Eddie,July,2020,2384
Wallace,January,2008,5260
Jimmie,February,2016,2496
Roger,January,2017,2245
Gilbert,March,2020,4756
Homer,February,2004,7945
Charlie,June,2002,2137
Virgil,June,2002,2695
Bobby,March,2010,644
Claude,January,2006,7281
Glen,February,2005,460
Milton,August,2018,186
Roger,June,2016,5656
Benjamin,January,2007,4155
Martin,October,2000,4386
Wallace,April,2013,477
Jesse,November,2008,1586
Willard,May,2003,2656
Wallace,November,2009,6383
Allen,March,2010,265
Maurice,May,2009,1060
Willard,October,2007,168
Charlie,April,2012,4271
Dale,July,2019,4769
Marion,November,2001,4872
Martin,August,2006,2087
Cecil,February,2002,2388
Leslie,July,2017,6878
Ronald,August,2015,6951
Milton,February,2019,3942
Jerry,January,2015,2506
Gilbert,February,2002,2903
Marion,July,2004,943
Allen,February,2018,662
Virgil,May,2003,1984
Edgar,June,2016,6250
Jesse,June,2007,5225
Dale,August,2011,7179
Chester,February,2003,1850
Gilbert,September,2018,2166
Sam,October,2018,1314
Oscar,March,2014,3955
Marion,September,2016,5957
Wilbur,May,2015,6273
Arnold,March,2020,1238
Eddie,March,2020,2004
Hugh,February,2004,799
Allen,October,2004,5738
Harvey,February,2001,3777
Oscar,March,2007,7512
Marion,August,2011,3099
Roland,February,2010,5621
Gilbert,July,2010,7161
Cecil,October,2004,3492
Gilbert,September,2018,2997
Jesse,January,2012,6138
Gilbert,July,2006,3901
Claude,April,2008,5370
Jesse,January,2003,2065
Jose,March,2013,1548
Johnnie,August,2011,2037
Jose,October,2015,2970
Charlie,July,2017,6545
Jerry,August,2008,6350
Eddie,February,2001,4650
Jerry,June,2009,3488
Benjamin,October,2003,7342
Gilbert,January,2003,6277
Wallace,November,2004,1378
Milton,September,2015,1672
Chester,September,2010,4710
Charlie,February,2005,3515
Milton,September,2000,4207
Jessie,April,2002,6515
Jose,August,2014,3453
Virgil,April,2013,4058
Maurice,June,2006,4901
Roland,September,2004,6904
Wallace,August,2009,2278
Arnold,April,2002,936
Leslie,June,2010,1400
Roger,June,2016,3882
Douglas,April,2012,3534
Allen,January,2005,1531
Hugh,August,2006,3731
Victor,November,2003,1884
Claude,May,2004,4558
Jerome,September,2009,6780
Martin,May,2005,3860
Wilbur,March,2016,765
Milton,August,2002,7555
Cecil,July,2019,1121
Roland,May,2012,1410
Arnold,May,2013,5100
Glen,March,2019,3693
Wilbur,January,2008,1769
Wilbur,February,2006,2822
Rudolph,January,2003,1985
Glen,September,2008,3282
Dale,April,2008,1707
Chester,March,2005,2701
Benjamin,January,2018,4853
Claude,July,2020,415
Gilbert,March,2000,192
Victor,July,2016,1863
Virgil,October,2012,1589
Wallace,March,2015,2852
Bobby,August,2020,6551
Arnold,January,2019,7980
Virgil,July,2010,6483
Chester,March,2007,3027
Harvey,October,2018,367
Lee,September,2009,6234
Virgil,March,2016,1295
Oscar,October,2011,4410
Roland,May,2001,3479
Martin,February,2016,6185
Jerome,April,2012,7594
Junior,July,2007,7336
Bobby,October,2013,3566
Edgar,May,2012,1320
Jose,January,2010,2124
Jerome,April,2017,4151
Wallace,November,2014,5339
Willard,May,2015,1683
Virgil,January,2006,744
Jerome,January,2020,6396
Jessie,January,2017,5008
Homer,July,2007,7255
Allen,May,2006,5434
Cecil,May,2019,1605
Gene,April,2008,1046
Junior,January,2001,7104
Harvey,May,2014,3453
Homer,April,2017,997
Homer,June,2002,3448
Hugh,November,2001,2908
Chester,October,2009,4835
Chester,January,2014,1345
Everett,May,2007,4654
Marion,August,2004,1167
Chester,May,2003,1826
Glen,September,2019,7691
Maurice,January,2016,6191
Ronald,September,2017,2065
Bobby,August,2008,4745
Eddie,June,2009,893
Sam,August,2020,3730
Claude,April,2007,5175
Roger,January,2001,7545
Jesse,May,2002,6821
Roger,August,2004,4994
Wilbur,March,2013,6350
Don,November,2016,5178
Douglas,March,2016,1289
Virgil,January,2000,2155
Arnold,June,2002,5304
Claude,November,2018,3321
Jose,March,2013,5089
Arnold,May,2000,7875
Wilbur,June,2018,4649
Ronald,May,2006,7168
Harvey,June,2012,5788
Claude,August,2019,5396
Arnold,March,2014,7524
Douglas,April,2010,4465
Manuel,November,2008,4480
Harvey,January,2009,1289
Maurice,June,2002,3165
Everett,September,2012,3585
Sam,April,2011,4610
Martin,October,2005,2276
Claude,November,2015,1600
Bob,May,2000,2160
Rudolph,September,2010,746
Benjamin,November,2009,1474
Charlie,May,2003,3068
Ronald,August,2000,7186
Roger,July,2002,4202
Ronald,November,2012,4296
Gilbert,November,2006,2601
Sam,April,2001,7882
Homer,November,2020,4292
Jerry,October,2006,3229
Glen,May,2016,1193
Martin,February,2008,5851
Gene,September,2009,4560
Jesse,October,2016,7951
Dale,September,2007,2374
Cecil,April,2004,6940
Homer,January,2016,7142
Hugh,June,2008,6381
Martin,October,2015,948
Maurice,February,2003,2204
Virgil,February,2002,631
Gene,May,2016,5710
Hugh,April,2011,650
Benjamin,October,2011,2766
Maurice,September,2016,5341
Jimmie,June,2019,4153
Jimmie,June,2000,836
Hugh,February,2007,7093
Oscar,April,2006,7934
Gilbert,November,2018,2114
Don,August,2018,4128
Dale,March,2006,5802
Gilbert,September,2006,175
Victor,February,2013,7499
Rudolph,March,2001,1153
Jose,October,2013,701
Ronald,May,2008,7738
Jesse,June,2000,5041
Hugh,July,2018,5095
Rudolph,March,2004,3041
Jose,May,2001,5247
Jerome,March,2012,3434
Milton,November,2005,3166
Chester,July,2007,4954
Gilbert,February,2016,2008
Curtis,April,2006,2175
Lee,July,2009,1162
Benjamin,January,2015,2684
Oscar,April,2000,7826
Jose,August,2003,4799
Victor,January,2018,2102
Homer,June,2012,5997
Jessie,September,2012,5256
Claude,April,2020,6684
Wilbur,January,2005,1245
Homer,September,2005,7655
Rudolph,June,2011,1577
Arnold,August,2009,662
Manuel,May,2007,6783
Jose,January,2010,2900
Everett,November,2017,6546
Bob,October,2000,2579
Sam,May,2013,6978
Junior,June,2005,7240
Gilbert,June,2006,7318
Bruce,March,2010,3257
Marion,May,2003,1430
Gilbert,November,2017,1697
Manuel,September,2006,2424
Oscar,April,2013,4957
Arnold,February,2016,503
Jesse,September,2011,5741
Don,September,2018,1728
Jerry,April,2003,4215
Leslie,January,2002,2330
Sam,January,2015,2472
Eddie,June,2006,4625
Victor,February,2011,648
Curtis,May,2000,1805
Johnnie,November,2000,3053
Virgil,February,2019,6750
Charlie,November,2011,5219
Manuel,April,2008,938
Martin,March,2001,1228
Harvey,May,2007,2505
Eddie,September,2020,5978
Jimmie,February,2000,283
Dale,October,2014,3018
Roland,May,2014,852
Benjamin,March,2009,5423
Maurice,October,2010,3271
Martin,September,2015,7014
Jimmie,July,2008,1589
Douglas,April,2014,6134
Dale,August,2003,4022
Wallace,June,2008,376
Sam,September,2013,4008
Marion,August,2017,7800
Curtis,September,2010,3171
Bruce,September,2010,7541
Maurice,January,2015,1242
Junior,July,2006,4364
Wilbur,August,2005,1473
Lewis,January,2019,1843
Wallace,October,2010,270
Jerome,April,2017,2744
Oscar,October,2009,2457
Edgar,September,2005,1393
Wilbur,April,2004,7497
Cecil,October,2003,2758
Edgar,June,2005,4845
Claude,September,2003,5500
Wallace,June,2005,6016
Jerry,February,2008,5185
Jimmie,September,2017,1847
Charlie,July,2012,1051
Dale,September,2004,2348
Dale,November,2020,1559
Bruce,June,2008,7719
Roland,June,2002,3250
Chester,May,2016,7777
Virgil,February,2007,3996
Gilbert,January,2009,1923
Roger,August,2006,5129
Hugh,November,2005,3580
Claude,August,2018,2419
Manuel,October,2010,4662
Edgar,March,2014,6554
Edgar,March,2000,6305
Bobby,April,2000,6334
Lee,November,2006,7275
Edgar,July,2014,3392
Martin,March,2019,950
Johnnie,May,2001,5403
Jerome,October,2000,6995
Wilbur,February,2005,7548
Junior,February,2020,5980
Johnnie,November,2010,7077
Arnold,June,2011,3350
Chester,August,2018,2292
Roland,March,2001,3950
Benjamin,May,2011,918
Jesse,September,2020,4996
Martin,August,2018,5226
Homer,February,2020,2985
Jose,February,2018,786
Don,August,2002,6884
Junior,September,2010,1084
Bruce,February,2002,1375
Jimmie,March,2010,5888
Johnnie,January,2005,6511
Douglas,July,2008,635
Manuel,May,2013,4380
Victor,February,2005,980
Manuel,January,2018,760
Arnold,August,2012,3540
Milton,April,2008,222
Edgar,April,2011,7486
Gene,July,2019,5358
Curtis,February,2016,6199
Harvey,June,2000,6985
Allen,October,2004,1919
Sam,May,2008,3852
Roger,April,2019,7422
Everett,October,2018,261
Don,November,2012,2235
Jesse,June,2009,5855
Jose,April,2002,5510
Marion,March,2006,6564
Maurice,June,2009,5607
Everett,October,2011,5401
Bob,August,2000,1202
Sam,March,2010,7467
Bobby,July,2005,7469
Douglas,May,2009,3635
Curtis,April,2015,5777
Junior,May,2017,832
Benjamin,February,2016,431
Jose,February,2016,5836
Willard,August,2019,2060
Sam,November,2000,7758
Don,October,2016,1977
Chester,May,2010,4934
Lewis,June,2010,6603
Leslie,March,2018,3952
Jose,June,2004,4247
Jose,January,2019,1026
Cecil,November,2012,495
Edgar,February,2003,2526
Gilbert,September,2015,7118
Johnnie,September,2018,4366
Cecil,April,2008,1412
Edgar,January,2012,6632
Bobby,October,2013,7589
Douglas,November,2018,6477
Bob,April,2019,5898
Manuel,August,2010,1057
Roger,July,2007,4036
Allen,July,2006,7756
Benjamin,January,2003,6207
Marion,January,2016,7332
Victor,September,2010,3268
Leslie,April,2002,4516
Chester,April,2003,2770
Sam,April,2002,348
Jesse,June,2008,659
Bob,August,2014,3020
Allen,July,2009,5737
Lewis,June,2016,1500
Lee,August,2012,5002
Charlie,May,2010,4570
Jessie,June,2001,5493
Ronald,January,2009,2227
Milton,September,2012,1757
Roger,August,2016,2904
Jose,June,2020,2854
Cecil,May,2015,4133
Dale,October,2001,3748
Benjamin,May,2000,3871
Junior,February,2012,3945
Martin,May,2007,5809
Oscar,June,2016,4695
Bobby,April,2019,6114
Jesse,February,2014,5798
Lewis,June,2005,3236
Allen,July,2007,4991
Douglas,May,2020,2537
Martin,March,2011,4337
Ronald,October,2011,3332
Everett,February,2015,3095
Dale,November,2009,1095
Douglas,June,2012,308
Don,July,2001,2212
Lee,February,2014,639
Wallace,October,2012,4110
Gene,January,2020,4013
Martin,May,2002,4214
Benjamin,June,2015,4752
Chester,August,2011,4960
Dale,July,2004,221
Jerry,April,2014,4336
Roger,September,2016,1812
Eddie,July,2018,6634
Maurice,April,2020,7691
Jerry,October,2002,5657
Roland,June,2014,2463
Jesse,May,2016,2025
Rudolph,October,2017,4449
Oscar,November,2014,3480
Jerome,June,2001,7447
Maurice,June,2013,2199
Martin,January,2020,7257
Chester,February,2020,7815
Wilbur,January,2004,3816
Junior,October,2019,7293
Ronald,November,2018,5510
Roland,November,2013,2272
Jessie,February,2017,3603
Milton,March,2004,7280
Sam,September,2012,2718
Dale,April,2015,491
Claude,November,2012,6870
Marion,April,2010,7148
Bruce,September,2006,4063
Cecil,September,2004,7837
Charlie,March,2002,1864
Martin,March,2015,4181
Chester,April,2014,3786
Curtis,February,2006,4858
Victor,August,2002,5359
Leslie,February,2003,2728
Junior,July,2009,3260
Hugh,January,2001,5523
Bob,June,2014,1929
Sam,May,2017,6005
Allen,October,2003,636
Lee,November,2007,409
Lee,June,2003,7579
Marion,April,2007,1671
Johnnie,October,2018,256
Roger,October,2016,2636
Virgil,June,2007,6589
Jerome,March,2007,3958
Johnnie,March,2000,7577
Virgil,February,2018,5809
Lee,March,2020,5527
Bobby,August,2015,1017
Lee,April,2005,7610
Roger,November,2002,4704
Leslie,March,2006,2055
Roland,August,2001,2626
Hugh,June,2017,6484
Douglas,June,2018,7818
Jerome,April,2018,2309
Bruce,January,2017,4686
Glen,July,2017,2009
Allen,March,2007,5916
Wallace,August,2004,6884
Arnold,October,2020,3224
Martin,April,2017,1225
Wallace,November,2006,3114
Rudolph,September,2018,7807
Jerome,April,2004,7064
Jerry,September,2007,504
Curtis,January,2001,4708
Jerry,January,2010,2623
Edgar,July,2018,3238
Hugh,February,2010,904
Sam,September,2001,1863
Gilbert,February,2012,3698
Bruce,September,2020,6351
Manuel,November,2004,6272
Charlie,August,2010,6046
Lewis,September,2008,6621
Junior,January,2001,4786
Marion,January,2011,7069
Glen,April,2015,4978
Chester,September,2017,7868
Chester,October,2014,4526
Ronald,August,2007,1303
Curtis,August,2008,7714
Rudolph,February,2018,2891
Eddie,July,2002,4602
Roland,August,2018,1750
Roger,November,2008,7443
Claude,November,2018,2667
Douglas,April,2006,1806
Don,June,2005,3822
Roland,August,2013,3422
Jesse,July,2000,7691
Charlie,October,2018,229
Jerome,September,2005,7720
Bob,January,2014,4355
Lee,August,2001,6136
Leslie,September,2016,3523
Roger,January,2002,3028
Johnnie,January,2002,235
Roger,March,2003,3018
Benjamin,May,2014,3789
Chester,September,2003,439
Maurice,August,2011,3033
Harvey,June,2020,7014
Roger,March,2019,4086
Milton,October,2011,5038
Curtis,November,2016,4145
Curtis,March,2009,356
Oscar,May,2018,5113
Sam,February,2000,6322
Bob,February,2016,5706
Jerome,March,2014,6936
Jimmie,May,2017,161
Roland,October,2018,7632
Milton,October,2013,4688
Bruce,July,2019,1354
Bruce,June,2008,6923
Roland,June,2000,2840
Victor,August,2010,794
Gene,February,2018,5188
Glen,March,2020,3516
Lewis,February,2015,1967
Jimmie,March,2018,7811
Bob,June,2003,7042
Bruce,April,2017,4089
Marion,July,2015,5838
Rudolph,March,2014,2398
Jessie,January,2015,2087
Hugh,September,2019,5383
Don,February,2010,5197
Jimmie,February,2011,7189
Hugh,October,2015,2878
Arnold,October,2019,190
Everett,May,2006,2620
Wilbur,March,2019,6720
Jerry,January,2020,7445
Rudolph,July,2008,3387
Leslie,April,2006,1536
Harvey,November,2006,639
Hugh,September,2007,5245
Allen,February,2014,6434
Gene,April,2002,1367
Johnnie,April,2010,5496
Virgil,July,2004,6880
Dale,April,2020,2217
Bruce,November,2014,1529
Eddie,September,2008,7107
Claude,February,2004,7309
Curtis,January,2011,4215
Junior,July,2012,7227
Bruce,November,2020,627
Lewis,November,2003,3157
Jerry,June,2006,933
Benjamin,August,2005,4268
Wallace,November,2004,2848
Jose,August,2009,1903
Arnold,March,2007,4352
Marion,October,2007,7213
Douglas,September,2000,3561
Charlie,September,2002,1547
Claude,January,2019,2297
Benjamin,June,2006,327
Don,April,2006,3006
Cecil,April,2012,5585
Jessie,April,2004,3631
Lewis,August,2012,4518
Glen,February,2000,4536
Roland,February,2014,483
Claude,May,2018,5728
Don,May,2001,1213
Bobby,September,2006,4568
Roland,November,2018,3276
Gene,February,2020,6088
Jerome,March,2012,6527
Junior,March,2010,7562
Douglas,May,2005,4143
Jessie,September,2002,2454
Bobby,April,2007,4103
Everett,April,2019,753
Milton,August,2019,7776
Don,November,2003,1935
Gilbert,August,2020,5991
Don,November,2013,7728
Gene,June,2004,6582
Junior,July,2007,1580
Allen,September,2020,1270
Curtis,June,2015,4924
Victor,January,2020,3802
Cecil,March,2012,1605
Benjamin,November,2016,1643
Milton,July,2018,964
Junior,August,2011,6683
Benjamin,July,2016,7443
Arnold,August,2013,3288
Roland,May,2020,6309
Glen,July,2016,7390
Dale,February,2015,3417
Homer,March,2003,4424
Everett,May,2017,7774
Bobby,June,2016,6444
Ronald,May,2002,565
Curtis,July,2000,5054
Roland,August,2009,7540
Jerry,September,2003,4351
Gilbert,February,2005,4425
Milton,May,2016,1480
Glen,November,2013,1240
Marion,March,2011,163
Homer,February,2015,3652
Bobby,July,2019,2702
Oscar,February,2003,5030
Oscar,November,2000,5510
Cecil,April,2012,958
Oscar,November,2001,5522
Douglas,November,2007,6813
Harvey,March,2004,5411
Douglas,June,2007,5935
Benjamin,January,2011,5601
Leslie,July,2009,4875
Ronald,May,2011,4734
Allen,April,2011,932
Jessie,January,2019,6345
Gilbert,November,2000,2286
Don,August,2001,2071
Curtis,November,2015,904
Don,May,2012,6221
Bruce,May,2009,2692
Ronald,April,2008,4319
Dale,June,2016,2008
Douglas,March,2004,3996
Jesse,April,2002,1418
Glen,March,2017,1107
Sam,November,2012,1622
Manuel,April,2010,1796
Benjamin,September,2004,1496
Milton,June,2004,6795
Douglas,October,2014,6128
Eddie,October,2020,7209
Oscar,August,2019,7250
Oscar,May,2003,3097
Willard,March,2013,6106
Ronald,February,2020,5140
Bobby,March,2005,1313
Jessie,July,2017,6170
Benjamin,March,2018,3373
Homer,November,2013,854
Bob,April,2009,6283
Lewis,November,2005,4911
Wallace,June,2013,398
Wallace,June,2004,1121
Harvey,July,2012,6501
Gene,November,2009,3728
Lewis,July,2014,6846
Harvey,March,2020,5730
Allen,October,2017,4712
Chester,September,2012,6355
Martin,March,2013,5274
Jerry,April,2009,2703
Leslie,July,2001,4041
Roland,January,2012,7255
Virgil,October,2005,5331
Hugh,September,2019,3006
Eddie,October,2011,3669
Junior,June,2008,5151
Everett,March,2004,1534
Benjamin,September,2013,3473
Dale,September,2004,2015
Victor,April,2011,1908
Lee,June,2003,2207
Johnnie,May,2004,7738
Glen,June,2018,7858
Jessie,July,2005,4800
Chester,November,2018,5135
Douglas,April,2012,4103
Hugh,April,2008,5206
Edgar,September,2007,850
Jesse,March,2005,2856
Don,March,2003,6598
Jerry,July,2002,3754
Marion,April,2013,7516
Allen,February,2002,1729
Don,August,2008,2658
Virgil,November,2005,1068
Lewis,February,2011,2755
Roland,March,2009,2566
Johnnie,July,2010,7397
Roland,February,2000,6622
Johnnie,August,2017,4822
Cecil,February,2017,6359
Rudolph,February,2020,1731
Allen,February,2008,4210
Jerome,April,2008,4809
Homer,July,2020,3382
Glen,October,2015,7575
Jerry,August,2014,1487
Cecil,July,2012,7744
Milton,November,2014,6838
Oscar,May,2018,6590
Bruce,September,2016,413
Gilbert,April,2019,7235
Oscar,August,2018,4522
Jerry,May,2014,5281
Curtis,January,2020,5676
Charlie,August,2004,154
Willard,November,2019,3271
Maurice,March,2012,7916
Victor,July,2011,4792
Bobby,February,2011,5073
Benjamin,October,2017,3481
Douglas,November,2012,6994
Ronald,October,2000,1893
Jose,June,2004,4621
Roger,July,2011,5427
Roland,April,2007,408
Everett,November,2008,6097
Eddie,October,2013,2296
Benjamin,January,2007,262
Wallace,November,2005,5759
Edgar,February,2007,2442
Don,January,2010,2710
Marion,September,2002,3800
Milton,July,2006,5461
Roger,October,2002,7161
Wilbur,April,2001,7035
Leslie,March,2007,4676
Chester,November,2007,6804
Claude,November,2014,5749
Manuel,May,2007,254
Lewis,June,2003,392
Cecil,January,2000,1484
Lewis,January,2015,2273
Junior,February,2018,2942
Sam,October,2019,5164
Bruce,June,2007,7301
Lewis,February,2014,7044
Manuel,October,2014,4298
Manuel,March,2016,719
Jerry,September,2014,2516
Jessie,February,2018,3913
Chester,April,2014,1430
Johnnie,August,2002,5977
Jesse,July,2018,4501
Arnold,March,2012,2665
Everett,August,2007,7095
Willard,July,2015,5426
Edgar,February,2004,3749
Virgil,July,2000,554
Junior,June,2010,1746
Douglas,January,2011,1580
Chester,April,2017,3434
Gilbert,November,2003,3404
Gilbert,May,2018,2004
Allen,September,2006,1871
Bob,February,2014,7748
Leslie,September,2002,4486
Wallace,November,2006,5320
Jerome,February,2011,881
Johnnie,February,2006,5348
Oscar,June,2017,5982
Chester,August,2007,4510
Gene,February,2020,2197
Don,May,2015,4894
Jessie,July,2007,7843
Cecil,April,2020,1550
Everett,August,2008,3397
Ronald,April,2012,7030
Allen,June,2015,1433
Lee,January,2020,7990
Bobby,January,2012,3160
Johnnie,September,2020,4313
Homer,July,2010,4366
Harvey,May,2012,5244
Claude,February,2007,7582
Virgil,May,2016,4142
Milton,November,2006,1697
Jerry,June,2007,6361
Bruce,April,2004,5353
Harvey,August,2008,4843
Charlie,March,2019,2913
Virgil,October,2004,4768
Benjamin,August,2017,2932
Homer,March,2002,7216
Lewis,September,2007,7415
Victor,May,2020,2136
Dale,May,2010,5619
Jessie,February,2007,4287
Johnnie,November,2020,4979
Sam,August,2003,467
Arnold,August,2019,698
Allen,October,2015,2446
Chester,August,2010,2535
Homer,November,2010,1866
Junior,July,2003,7429
Bruce,April,2006,2703
Martin,October,2019,1137
Everett,May,2004,7135
Jimmie,October,2000,6336
Benjamin,February,2014,3049
Bob,April,2001,4442
Marion,November,2016,5058
Roland,February,2010,2263
Milton,May,2004,4725
Dale,February,2019,335
Eddie,May,2007,725
Jerry,May,2007,3597
Bobby,August,2010,3607
Roland,August,2018,6748
Jesse,January,2008,6096
Jose,May,2016,3919
Maurice,March,2015,772
Charlie,February,2003,5563
Glen,March,2015,4833
Dale,July,2001,4473
Douglas,April,2019,821
Chester,October,2017,3036
Douglas,August,2015,6562
Arnold,November,2003,7819
Jerome,October,2007,552
Jerome,January,2010,6839
Bob,September,2004,3307
Oscar,April,2014,2085
Wallace,June,2011,1427
Junior,October,2020,1662
Jesse,May,2020,2407
Wallace,October,2011,3272
Arnold,September,2006,6448
Manuel,March,2010,5367
Charlie,February,2001,2385
Harvey,March,2012,7103
Junior,February,2014,4490
Jerome,August,2013,4023
Don,June,2007,7765
Roger,November,2005,2634
Bruce,May,2005,1852
Bob,February,2019,5809
Don,February,2013,2945
Harvey,November,2002,5630
